,ticker,periodOfReport,linkToFilingDetails,formType,cik
85,MCHP,2017-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705417000132/a0630201710q.htm,10-Q,827054
86,MCHP,2016-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705417000018/a1231201610q.htm,10-Q,827054
87,MCHP,2016-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705416000472/a930201610q.htm,10-Q,827054
88,MCHP,2016-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705416000385/a630201610q.htm,10-Q,827054
89,MCHP,2015-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705416000265/a1231201510q.htm,10-Q,827054
90,MCHP,2015-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705415000218/a0930201510q.htm,10-Q,827054
91,MCHP,2015-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705415000134/a2015063010q.htm,10-Q,827054
92,MCHP,2014-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705415000017/a2014123110q.htm,10-Q,827054
93,MCHP,2014-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705414000250/a2014093010q.htm,10-Q,827054
94,MCHP,2014-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705414000176/a2014063010q.htm,10-Q,827054
95,MCHP,2013-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705414000023/a2013123110q.htm,10-Q,827054
96,MCHP,2013-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705413000321/a2013093010q.htm,10-Q,827054
97,MCHP,2013-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705413000216/a2013063010q.htm,10-Q,827054
98,MCHP,2012-12-31,https://www.sec.gov/Archives/edgar/data/827054/000082705413000050/a2012123110q.htm,10-Q,827054
99,MCHP,2012-09-30,https://www.sec.gov/Archives/edgar/data/827054/000082705412000342/a2012093010q.htm,10-Q,827054
100,MCHP,2012-06-30,https://www.sec.gov/Archives/edgar/data/827054/000082705412000230/a2012063010q.htm,10-Q,827054
101,ABNB,2022-03-31,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/abnb-20220331.htm,10-Q,1559720
102,ABNB,2021-09-30,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000017/abnb-20210930.htm,10-Q,1559720
103,ABNB,2021-06-30,https://www.sec.gov/Archives/edgar/data/1559720/000162828021016979/abnb-20210630.htm,10-Q,1559720
104,ABNB,2021-03-31,https://www.sec.gov/Archives/edgar/data/1559720/000162828021010389/abnb-20210331.htm,10-Q,1559720
105,FANG,2022-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983822000058/fang-20220331.htm,10-Q,1539838
106,FANG,2021-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983821000126/fang-20210930.htm,10-Q,1539838
107,FANG,2021-06-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983821000117/fang-20210630.htm,10-Q,1539838
108,FANG,2021-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983821000069/fang-20210331.htm,10-Q,1539838
109,FANG,2020-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983820000111/fang-20200930.htm,10-Q,1539838
110,FANG,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983820000101/fang-20200630.htm,10-Q,1539838
111,FANG,2020-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983820000054/q12020diamondback10-q.htm,10-Q,1539838
112,FANG,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983819000117/q32019diamondback10-q.htm,10-Q,1539838
113,FANG,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983819000095/q22019diamondback10-q.htm,10-Q,1539838
114,FANG,2019-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983819000057/q12019diamondback10-q.htm,10-Q,1539838
115,FANG,2018-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983818000117/q32018diamondback10-q.htm,10-Q,1539838
116,FANG,2018-06-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983818000093/q22018diamondback10-q.htm,10-Q,1539838
117,FANG,2018-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983818000054/q12018diamondback10-q.htm,10-Q,1539838
118,FANG,2017-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983817000127/q32017diamondback10-q.htm,10-Q,1539838
119,FANG,2017-06-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983817000105/q22017diamondback10-q.htm,10-Q,1539838
120,FANG,2017-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983817000076/q12017diamondback10-q.htm,10-Q,1539838
121,FANG,2016-09-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983816000253/q32016diamondback10-q.htm,10-Q,1539838
122,FANG,2016-06-30,https://www.sec.gov/Archives/edgar/data/1539838/000153983816000209/q22016diamondback10-q.htm,10-Q,1539838
123,FANG,2016-03-31,https://www.sec.gov/Archives/edgar/data/1539838/000153983816000171/q12016diamondback10-q.htm,10-Q,1539838
