,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2021-02-28,1.0,0.106,0.833,0.061,0.7635500000000001,0.1855,0.789,0.025500000000000002,768601.0,694.5
2021-03-01,1.0,0.106,0.833,0.061,0.7635500000000001,0.1855,0.789,0.025500000000000002,653979.0,719.2
2021-03-02,1.0,0.106,0.833,0.061,0.7635500000000001,0.1855,0.789,0.025500000000000002,455226.0,716.31
2021-03-03,1.0,0.106,0.833,0.061,0.5522,0.13933333333333334,0.8606666666666666,0.0,703134.0,701.49
2021-03-04,1.0,0.106,0.833,0.061,0.3612,0.055,0.945,0.0,915435.0,683.21
2021-03-05,1.0,0.106,0.833,0.061,0.3612,0.055,0.945,0.0,698504.0,702.28
2021-03-06,1.0,0.106,0.833,0.061,0.3612,0.055,0.945,0.0,698504.0,702.28
2021-03-07,1.0,0.106,0.833,0.061,0.3612,0.055,0.945,0.0,698504.0,702.28
2021-03-08,1.0,0.106,0.833,0.061,0.3612,0.055,0.945,0.0,649762.0,698.96
2021-03-09,1.0,0.106,0.833,0.061,0.3612,0.055,0.945,0.0,967468.0,722.0
2021-03-10,1.0,0.106,0.833,0.061,-0.5423,0.096,0.611,0.293,823347.0,728.5
2021-03-11,1.0,0.106,0.833,0.061,-0.5423,0.096,0.611,0.293,751651.0,722.12
2021-03-12,1.0,0.106,0.833,0.061,-0.5423,0.096,0.611,0.293,528693.0,716.19
2021-03-13,1.0,0.106,0.833,0.061,-0.5423,0.096,0.611,0.293,528693.0,716.19
2021-03-14,1.0,0.106,0.833,0.061,-0.8885,0.031,0.754,0.215,528693.0,716.19
2021-03-15,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,526994.0,719.01
2021-03-16,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,562240.0,723.07
2021-03-17,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,463614.0,728.22
2021-03-18,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,640124.0,723.73
2021-03-19,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,1452400.0,729.64
2021-03-20,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,1452400.0,729.64
2021-03-21,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,1452400.0,729.64
2021-03-22,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,524689.0,730.92
2021-03-23,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,557028.0,716.57
2021-03-24,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,544800.0,722.75
2021-03-25,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,462825.0,727.5
2021-03-26,1.0,0.106,0.833,0.061,0.6998333333333333,0.414,0.586,0.0,803746.0,756.9
