date,ticker,close,volume
2022-03-22,BLK,746.87,550071
2022-03-23,BLK,736.46,729122
2022-03-24,BLK,738.28,446083
2022-03-25,BLK,741.04,418844
2022-03-28,BLK,749.88,448964
2022-03-29,BLK,773.24,795127
2022-03-30,BLK,777.36,791890
2022-03-31,BLK,764.17,927037
2022-04-01,BLK,769.76,678986
2022-04-04,BLK,782.23,880344
2022-04-05,BLK,764.43,750238
2022-04-06,BLK,745.23,843594
2022-04-07,BLK,748.89,472285
2022-04-08,BLK,736.1,818730
2022-04-11,BLK,728.38,590762
2022-04-12,BLK,716.83,952287
2022-04-13,BLK,715.74,903878
2022-04-14,BLK,688.17,1102214
2022-04-18,BLK,680.0,829196
2022-04-19,BLK,701.57,997082
2022-04-20,BLK,699.0,919410
2022-04-21,BLK,681.46,800829
2022-04-22,BLK,662.94,795628
2022-04-25,BLK,668.28,1132183
2022-04-26,BLK,647.05,800683
2022-04-27,BLK,643.02,628873
2022-04-28,BLK,650.97,1116162
2022-04-29,BLK,624.68,1010017
2022-05-02,BLK,624.8,1527427
2022-05-03,BLK,631.06,881430
2022-05-04,BLK,665.23,1027243
2022-05-05,BLK,633.81,883328
2022-05-06,BLK,628.62,714016
2022-05-09,BLK,605.56,1068410
2022-05-10,BLK,610.23,1166908
2022-05-11,BLK,600.35,1153636
2022-05-12,BLK,600.4,1096838
2022-05-13,BLK,615.33,1671239
2022-05-16,BLK,598.6,2270272
2022-05-17,BLK,611.72,1544394
2022-05-18,BLK,591.86,961584
2022-05-19,BLK,593.08,1293319
2022-05-20,BLK,600.44,1192179
2022-05-23,BLK,611.51,915821
2022-05-24,BLK,618.35,1122247
2022-05-25,BLK,626.6,953510
2022-05-26,BLK,652.44,1648223
2022-05-27,BLK,666.53,972286
2022-05-31,BLK,669.08,2513202
2022-06-01,BLK,660.51,912127
2015-12-01,PYPL,35.17,14893927
2015-12-02,PYPL,35.15,5762384
2015-12-03,PYPL,34.23,7311905
2015-12-04,PYPL,35.62,10664349
2015-12-07,PYPL,35.16,4917953
2015-12-08,PYPL,35.6,7420819
2015-12-09,PYPL,35.07,7381669
2015-12-10,PYPL,35.49,6949734
2015-12-11,PYPL,34.69,8309205
2015-12-14,PYPL,35.01,5803074
2015-12-15,PYPL,36.32,11709851
2015-12-16,PYPL,35.98,7076271
2015-12-17,PYPL,35.54,6454069
2015-12-18,PYPL,34.98,13745948
2015-12-21,PYPL,36.08,5856044
2015-12-22,PYPL,36.805,6030899
2015-12-23,PYPL,37.11,7579531
2015-12-24,PYPL,37.07,2133437
2015-12-28,PYPL,36.61,4930147
2015-12-29,PYPL,37.08,3436624
2015-12-30,PYPL,36.48,4106613
2015-12-31,PYPL,36.2,4481936
2016-01-04,PYPL,34.75,12287716
2016-01-05,PYPL,34.31,11227717
2016-01-06,PYPL,33.98,8441271
2016-01-07,PYPL,33.13,11041083
2016-01-08,PYPL,32.69,7848846
2016-01-11,PYPL,33.04,8937358
2016-01-12,PYPL,33.08,7853995
2016-01-13,PYPL,32.12,8069449
2016-01-14,PYPL,32.87,7749477
2016-01-15,PYPL,32.31,12174356
2016-01-19,PYPL,32.2,6674703
2016-01-20,PYPL,31.2,13170588
2016-01-21,PYPL,31.2,9978942
2016-01-22,PYPL,31.69,9443981
2016-01-25,PYPL,31.47,7591779
2016-01-26,PYPL,31.97,8616958
2016-01-27,PYPL,31.59,12711682
2016-01-28,PYPL,34.24,20378569
2016-01-29,PYPL,36.14,21201081
2016-02-01,PYPL,37.08,17356043
2016-02-02,PYPL,36.83,16974287
2016-02-03,PYPL,37.01,14543103
2016-02-04,PYPL,37.17,10212258
2016-02-05,PYPL,35.07,16245837
2016-02-08,PYPL,33.61,20628966
2016-02-09,PYPL,32.7,16439154
2016-02-10,PYPL,32.9,8636453
2016-02-11,PYPL,33.52,13170076
2016-02-12,PYPL,34.3,9437119
2016-02-16,PYPL,35.46,9152381
2016-02-17,PYPL,36.36,12070600
2016-02-18,PYPL,36.31,9022079
2016-02-19,PYPL,35.76,9652780
2016-02-22,PYPL,36.0,10476243
2016-02-23,PYPL,35.48,8415202
2016-02-24,PYPL,36.47,8091152
2016-02-25,PYPL,36.74,5209549
2016-02-26,PYPL,37.49,8594979
2016-02-29,PYPL,38.14,23939899
2016-03-01,PYPL,39.25,14085282
2016-03-02,PYPL,39.16,12895941
2016-03-03,PYPL,39.02,7656878
2016-03-04,PYPL,39.04,7200095
2016-03-07,PYPL,38.98,5340266
2016-03-08,PYPL,38.16,6012691
2016-03-09,PYPL,38.57,4990510
2016-03-10,PYPL,38.49,7655723
2016-03-11,PYPL,39.49,9539513
2016-03-14,PYPL,39.38,5299665
2016-03-15,PYPL,39.27,5013862
2016-03-16,PYPL,39.84,6363503
2016-03-17,PYPL,39.93,9789562
2016-03-18,PYPL,39.41,15132322
2016-03-21,PYPL,41.14,13432446
2016-03-22,PYPL,41.32,10552302
2016-03-23,PYPL,40.52,8104680
2016-03-24,PYPL,38.92,15040554
2016-03-28,PYPL,38.74,6192899
2016-03-29,PYPL,39.53,5694000
2016-03-30,PYPL,39.04,5246797
2016-03-31,PYPL,38.6,8086983
2016-04-01,PYPL,39.4,6982014
2016-04-04,PYPL,38.79,5381340
2016-04-05,PYPL,38.55,5364753
2016-04-06,PYPL,39.16,5526193
2016-04-07,PYPL,38.28,7294453
2016-04-08,PYPL,38.41,7822305
2016-04-11,PYPL,38.06,5428928
2016-04-12,PYPL,37.8,7677829
2016-04-13,PYPL,38.79,7082364
2016-04-14,PYPL,38.64,4590156
2016-04-15,PYPL,38.58,5239576
2016-04-18,PYPL,39.64,6433030
2016-04-19,PYPL,39.24,5915827
2016-04-20,PYPL,40.08,7723520
2016-04-21,PYPL,40.1,5539350
2016-04-22,PYPL,40.31,6433904
2016-04-25,PYPL,39.82,7934207
2016-04-26,PYPL,39.73,5271169
2016-04-27,PYPL,40.01,12727635
2016-04-28,PYPL,40.07,17799975
2016-04-29,PYPL,39.18,10001401
2016-05-02,PYPL,39.02,6777514
2016-05-03,PYPL,38.36,9146618
2016-05-04,PYPL,38.31,8121646
2016-05-05,PYPL,38.95,7127183
2016-05-06,PYPL,39.48,6566908
2016-05-09,PYPL,39.62,5860735
2016-05-10,PYPL,40.11,6589127
2016-05-11,PYPL,39.71,5995494
2016-05-12,PYPL,39.51,6323088
2016-05-13,PYPL,39.48,5885930
2016-05-16,PYPL,39.3,10316036
2016-05-17,PYPL,39.065,10746107
2016-05-18,PYPL,38.98,10393509
2016-05-19,PYPL,37.65,16990979
2016-05-20,PYPL,37.53,12497204
2016-05-23,PYPL,38.07,9083796
2016-05-24,PYPL,38.92,7555190
2016-05-25,PYPL,38.76,6561151
2016-05-26,PYPL,38.07,5894744
2016-05-27,PYPL,38.09,5863610
2016-05-31,PYPL,37.79,12231362
2016-06-01,PYPL,38.31,5458457
2016-06-02,PYPL,38.56,4659221
2016-06-03,PYPL,38.33,4986042
2016-06-06,PYPL,38.1,5065932
2016-06-07,PYPL,37.57,6324422
2016-06-08,PYPL,37.55,8667363
2016-06-09,PYPL,37.13,10206706
2016-06-10,PYPL,36.77,7741351
2016-06-13,PYPL,36.54,8215970
2016-06-14,PYPL,37.16,10281933
2016-06-15,PYPL,36.84,7092048
2016-06-16,PYPL,36.97,6106029
2016-06-17,PYPL,36.97,7947873
2016-06-20,PYPL,36.86,7789608
2016-06-21,PYPL,36.16,12816091
2016-06-22,PYPL,36.0,9292358
2016-06-23,PYPL,36.66,4808720
2016-06-24,PYPL,35.08,17647191
2016-06-27,PYPL,34.2,11219538
2016-06-28,PYPL,35.24,12408155
2016-06-29,PYPL,35.77,9520385
2016-06-30,PYPL,36.51,9152990
2016-07-01,PYPL,36.35,7260381
2016-07-05,PYPL,36.12,5321119
2016-07-06,PYPL,35.93,7821280
2016-07-07,PYPL,36.32,7326735
2016-07-08,PYPL,37.36,6828882
2016-07-11,PYPL,38.15,10096189
2016-07-12,PYPL,38.79,10006323
2016-07-13,PYPL,39.28,12458481
2016-07-14,PYPL,39.96,9683504
2016-07-15,PYPL,39.09,8140573
2016-07-18,PYPL,38.92,7877439
2016-07-19,PYPL,39.37,8120130
2016-07-20,PYPL,40.05,11189094
2016-07-21,PYPL,40.13,13363317
