,periodOfReport,ticker,pos,neg,neu,compound
436,2015-06-28,SPWR,0.154,0.034,0.813,1.0
437,2015-09-27,SPWR,0.153,0.032,0.814,1.0
438,2016-01-03,SPWR,0.116,0.046,0.838,1.0
439,2016-04-03,SPWR,0.145,0.032,0.823,1.0
440,2016-07-03,SPWR,0.145,0.032,0.823,1.0
441,2016-10-02,SPWR,0.15,0.034,0.816,1.0
442,2017-01-01,SPWR,0.116,0.051,0.833,1.0
443,2017-04-02,SPWR,0.149,0.03,0.821,1.0
444,2017-07-02,SPWR,0.148,0.029,0.823,1.0
445,2017-10-01,SPWR,0.146,0.036,0.819,1.0
446,2017-12-31,SPWR,0.119,0.049,0.832,1.0
447,2018-04-01,SPWR,0.145,0.035,0.82,1.0
448,2018-06-30,SPWR,0.144,0.033,0.822,1.0
449,2018-09-30,SPWR,0.143,0.033,0.824,1.0
450,2018-12-30,SPWR,0.106,0.052,0.842,1.0
451,2019-03-31,SPWR,0.141,0.033,0.826,1.0
452,2019-06-30,SPWR,0.138,0.035,0.828,1.0
453,2019-09-29,SPWR,0.14,0.036,0.824,1.0
454,2019-12-29,SPWR,0.104,0.053,0.843,1.0
455,2020-03-29,SPWR,0.135,0.035,0.83,1.0
456,2020-06-28,SPWR,0.137,0.032,0.831,1.0
457,2020-09-27,SPWR,0.134,0.035,0.83,1.0
458,2021-01-03,SPWR,0.103,0.058,0.839,1.0
459,2021-04-04,SPWR,0.131,0.033,0.836,1.0
460,2021-07-04,SPWR,0.132,0.036,0.832,1.0
461,2021-10-03,SPWR,0.139,0.04,0.821,1.0
462,2022-01-02,SPWR,0.103,0.051,0.846,1.0
463,2022-04-03,SPWR,0.121,0.04,0.838,1.0
464,2019-03-31,UBER,0.111,0.042,0.846,1.0
